model,activation,optimizer,seq_len,clipping,test_accuracy,test_f1,avg_epoch_time_s
rnn,relu,adam,25,True,0.6784686700767263,0.6702456501960231,7.149034214019776
rnn,relu,adam,25,False,0.6771898976982097,0.6695256358522174,6.886119651794433
rnn,tanh,adam,25,True,0.6552909207161125,0.6451176332431001,7.119918394088745
rnn,tanh,adam,25,False,0.5322490409207161,0.41874475282974566,6.845202493667602
rnn,relu,adam,50,True,0.6950527493606138,0.688010889727629,7.225582027435303
rnn,relu,adam,50,False,0.66096547314578,0.6412706383116549,6.972805547714233
rnn,tanh,adam,50,True,0.6548113810741688,0.6466400423937754,7.175586128234864
rnn,tanh,adam,50,False,0.6134910485933504,0.6056495467246222,6.933696651458741
rnn,relu,adam,100,True,0.7418478260869565,0.7342258475290752,7.616652107238769
rnn,relu,adam,100,False,0.6004635549872123,0.5920848908118036,7.3283648014068605
rnn,tanh,adam,100,True,0.5862771739130435,0.5392530905256618,7.590453720092773
rnn,tanh,adam,100,False,0.5123481457800512,0.44590615157197,7.352975130081177
rnn,relu,sgd,25,True,0.5020380434782609,0.49102251757289184,6.854023027420044
rnn,relu,sgd,25,False,0.501798273657289,0.49073433631650326,6.544710302352906
rnn,tanh,sgd,25,True,0.5018382352941176,0.49384691824514537,6.875922060012817
rnn,tanh,sgd,25,False,0.5018382352941176,0.4938859634567437,6.594256591796875
rnn,relu,sgd,50,True,0.4959638746803069,0.48550806205426883,7.011561489105224
rnn,relu,sgd,50,False,0.4963235294117647,0.4857777310490527,6.6858758449554445
rnn,tanh,sgd,50,True,0.4982816496163683,0.4883649138015158,7.031147813796997
rnn,tanh,sgd,50,False,0.4983216112531969,0.4883346956580333,6.821026754379273
rnn,relu,sgd,100,True,0.506074168797954,0.4905957658322385,7.2970299243927
rnn,relu,sgd,100,False,0.5061141304347826,0.4904959990198135,7.031586742401123
rnn,tanh,sgd,100,True,0.5063539002557544,0.495028975741677,7.330069732666016
rnn,tanh,sgd,100,False,0.5063139386189258,0.49497899921441624,7.035812330245972
rnn,relu,rmsprop,25,True,0.670196611253197,0.6627477940844443,7.04857292175293
rnn,relu,rmsprop,25,False,0.6691576086956522,0.661069497681897,6.8142109394073485
rnn,tanh,rmsprop,25,True,0.6407848465473146,0.6280609977809148,7.08859167098999
rnn,tanh,rmsprop,25,False,0.5778852301790282,0.5637821432598784,6.745072269439698
rnn,relu,rmsprop,50,True,0.6875399616368286,0.6801182361619523,7.191070890426635
rnn,relu,rmsprop,50,False,0.6773097826086957,0.6702195116155102,6.868121719360351
rnn,tanh,rmsprop,50,True,0.6213235294117647,0.6020948029320689,7.111173105239868
rnn,tanh,rmsprop,50,False,0.6106537723785166,0.5820510313226752,6.886678838729859
rnn,relu,rmsprop,100,True,0.7290601023017903,0.7157309287975173,7.602648448944092
rnn,relu,rmsprop,100,False,0.7012867647058824,0.6890392826240683,7.199106884002686
rnn,tanh,rmsprop,100,True,0.5836796675191815,0.5666354289253217,7.468637609481812
rnn,tanh,rmsprop,100,False,0.5727701406649617,0.5620922632613862,7.319667148590088
lstm,none,adam,25,True,0.7107576726342711,0.7036674821768544,7.5003499507904055
lstm,none,adam,25,False,0.712116368286445,0.7053448610912127,7.2282336235046385
lstm,none,adam,50,True,0.7523177749360613,0.7442298081567803,7.63516001701355
lstm,none,adam,50,False,0.7521978900255755,0.7456543609286128,7.30690712928772
lstm,none,adam,100,True,0.7935182225063938,0.7876699799794735,7.963704681396484
lstm,none,adam,100,False,0.7788123401534527,0.7685941506678138,7.653851413726807
lstm,none,sgd,25,True,0.5061540920716112,0.4967844766691554,7.209653997421265
lstm,none,sgd,25,False,0.5061540920716112,0.4967844766691554,6.998377323150635
lstm,none,sgd,50,True,0.5039162404092071,0.4948216277939116,7.369468641281128
lstm,none,sgd,50,False,0.5039162404092071,0.4948216277939116,7.11869797706604
lstm,none,sgd,100,True,0.49656329923273657,0.4836673615125743,7.667187786102295
lstm,none,sgd,100,False,0.49656329923273657,0.4836673615125743,7.491512727737427
lstm,none,rmsprop,25,True,0.7047234654731458,0.6971017111669128,7.378399085998535
lstm,none,rmsprop,25,False,0.7045236572890026,0.696545495432671,7.155687093734741
lstm,none,rmsprop,50,True,0.7552749360613811,0.7483778095564975,7.460531902313233
lstm,none,rmsprop,50,False,0.743366368286445,0.7315019657802179,7.221486616134643
lstm,none,rmsprop,100,True,0.7827685421994884,0.7748817941266614,7.831722402572632
lstm,none,rmsprop,100,False,0.7961956521739131,0.7901722292932676,7.597135877609253
bilstm,none,adam,25,True,0.7101582480818415,0.7026749729749153,8.456016254425048
bilstm,none,adam,25,False,0.7110773657289002,0.70371702341532,8.107926225662231
bilstm,none,adam,50,True,0.7639066496163683,0.7577430473245432,8.481594324111938
bilstm,none,adam,50,False,0.7653053069053708,0.7590927115447925,8.165923690795898
bilstm,none,adam,100,True,0.8038283248081841,0.7983793086223041,9.069476747512818
bilstm,none,adam,100,False,0.7862452046035806,0.778573634017685,8.720497989654541
bilstm,none,sgd,25,True,0.4952445652173913,0.4655779612678587,8.043204498291015
bilstm,none,sgd,25,False,0.4952445652173913,0.4655779612678587,7.745394039154053
bilstm,none,sgd,50,True,0.4999200767263427,0.46896266931017666,8.195544052124024
bilstm,none,sgd,50,False,0.4999200767263427,0.46896266931017666,7.8765253067016605
bilstm,none,sgd,100,True,0.4956042199488491,0.46465688034456604,8.812227153778077
bilstm,none,sgd,100,False,0.4956042199488491,0.46465688034456604,8.499187707901001
bilstm,none,rmsprop,25,True,0.7072410485933504,0.6998185485569658,8.309938621520995
bilstm,none,rmsprop,25,False,0.7071611253196931,0.6995547201515243,7.94074649810791
bilstm,none,rmsprop,50,True,0.7623481457800512,0.7559525010225965,8.358449363708496
bilstm,none,rmsprop,50,False,0.7627477621483376,0.7561910784717321,8.074755382537841
bilstm,none,rmsprop,100,True,0.8047074808184144,0.7993516987107656,9.020118808746338
bilstm,none,rmsprop,100,False,0.801031010230179,0.7956133017918398,8.635332584381104
